indice_tiempo,cuenta_corriente_mercancias_exportaciones,cuenta_corriente_mercancias_importaciones,cuenta_corriente_mercancias_saldo,cuenta_corriente_servicios_reales_exportaciones,cuenta_corriente_servicios_reales_importaciones,cuenta_corriente_servicios_reales_saldo,cuenta_corriente_servicios_financieros_rentas_saldo,cuenta_corriente_transferencias_corrientes,cuenta_corriente_resto,cuenta_corriente_total,cuenta_capital_sector_privado_no_financiero,cuenta_capital_instituciones_oficiales_bancarias,cuenta_capital_sector_publico_no_financiero,cuenta_capital_resto,cuenta_capital_total,errores_omisiones,variacion_reservas
1881-01-01,56,49,6,,,,,,,2,,,,,2,,4
1882-01-01,58,54,4,,,,,,,-1,,,,,9,,8
1883-01-01,58,71,-13,,,,,,,-20,,,,,27,,7
1884-01-01,66,84,-18,,,,,,,-25,,,,,12,,-13
1885-01-01,81,82,-1,,,,,,,-8,,,,,16,,8
1886-01-01,67,85,-17,,,,,,,-25,,,,,39,,15
1887-01-01,81,104,-23,,,,,,,-32,,,,,112,,80
1888-01-01,97,114,-17,,,,,,,-27,,,,,191,,164
1889-01-01,87,146,-59,,,,,,,-72,,,,,91,,19
1890-01-01,97,126,-29,,,,,,,-40,,,,,-14,,-54
1891-01-01,100,60,40,,,,,,,35,,,,,-22,,12
1892-01-01,109,81,28,,,,,,,21,,,,,-15,,6
1893-01-01,91,85,5,,,,,,,-2,,,,,-19,,-21
1894-01-01,98,82,16,,,,,,,9,,,,,-30,,-21
1895-01-01,116,84,31,,,,,,,24,,,,,-20,,4
1896-01-01,113,100,13,,,,,,,4,,,,,-3,,2
1897-01-01,98,87,10,,,,,,,3,,,,,-6,,-3
1898-01-01,129,95,34,,,,,,,25,,,,,-4,,21
1899-01-01,178,104,75,,,,,,,66,,,,,-29,,37
1900-01-01,152,103,49,,,,,,,41,,,,,-31,,10
1901-01-01,167,105,63,,,-66.0,-63.0,-49.0,,-114,,,,,116,-2.0,0
1902-01-01,178,94,84,,,-69.0,-69.0,-53.0,,-108,,,,,116,-2.0,6
1903-01-01,214,117,97,,,-65.0,-76.0,-47.0,,-92,,,,,116,0.0,24
1904-01-01,256,167,89,,,-60.0,-83.0,-39.0,,-93,,,,,116,0.0,22
1905-01-01,312,183,130,,,-75.0,-90.0,-51.0,,-85,,,,,116,0.0,31
1906-01-01,283,241,42,,,-34.0,-97.0,-11.0,,-100,,,,,116,0.0,16
1907-01-01,280,249,31,,,-23.0,-101.0,-1.0,,-94,,,,,113,0.0,19
1908-01-01,354,243,111,,,-58.0,-110.0,-31.0,,-88,,,,,116,0.0,28
1909-01-01,385,270,115,,,-37.0,-117.0,-12.0,,-51,,,,,116,-1.0,64
1910-01-01,374,335,38,,,-75.0,-131.0,-39.0,,-207,,,,,241,0.0,34
1911-01-01,329,358,-29,,,-44.0,-145.0,-12.0,,-231,,,,,241,0.0,9
1912-01-01,482,395,87,,,-87.0,-162.0,-45.0,,-208,,,,,241,0.0,34
